narrator_id,n_interviews,n_segments,authority_stance,belonging_stance,composure_score_mean,composure_score_max,how_multimodal_score_mean,how_multimodal_score_max,n_discomposed_text,share_discomposed_text,share_composed_text,how_text_any_discomposed,n_discomposed,share_discomposed,share_composed,how_any_discomposed,region_label,region_6,outcome_3class
131,2,50,0.5144,0.4556,0.4654,0.75,0.7159,0.9958,21,0.42,0.58,1,46,0.92,0.08,1,rupture,default_rupture,Rupture
132,1,24,0.4937,0.4354,0.3375,0.45,0.4705,0.5951,0,0.0,1.0,0,6,0.25,0.75,1,rupture,injury_disrupted,Injury
133,1,22,0.4977,0.4114,0.3045,0.65,0.4492,0.65,2,0.0909,0.9091,1,8,0.3636,0.6364,1,rupture,injury,Injury
135,1,24,0.5104,0.4604,0.2396,0.35,0.7334,0.8862,0,0.0,1.0,0,23,0.9583,0.0417,1,rupture,default_rupture,Rupture
136,1,25,0.5148,0.4328,0.356,0.62,0.398,0.62,3,0.12,0.88,1,4,0.16,0.84,1,rupture,default_rupture,Rupture
139,2,41,0.518,0.4563,0.3356,0.6,0.4379,0.6,1,0.0244,0.9756,1,7,0.1707,0.8293,1,rupture,default_rupture,Rupture
140,2,32,0.5672,0.4094,0.2406,0.4,0.4778,0.7907,0,0.0,1.0,0,15,0.4688,0.5312,1,rupture,politicizing_rupture,Distrust
141,1,25,0.6952,0.4608,0.3848,0.65,0.4102,0.65,3,0.12,0.88,1,3,0.12,0.88,1,rupture,distrust,Distrust
142,1,20,0.5835,0.241,0.2615,0.45,0.2934,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
143,1,17,0.4835,0.3812,0.3159,0.45,0.3302,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
147,1,24,0.5383,0.4138,0.3325,0.55,0.4037,0.55,1,0.0417,0.9583,1,1,0.0417,0.9583,1,rupture,adaptive_rupture,Rupture
149,1,23,0.5174,0.5043,0.3087,0.45,0.361,0.9946,0,0.0,1.0,0,1,0.0435,0.9565,1,rupture,default_rupture,Rupture
150,1,23,0.5335,0.4422,0.3622,0.7,0.4656,0.7,1,0.0435,0.9565,1,8,0.3478,0.6522,1,rupture,default_rupture,Rupture
151,3,57,0.5254,0.3419,0.5204,0.85,0.5636,0.85,31,0.5439,0.4561,1,41,0.7193,0.2807,1,rupture,adaptive_rupture,Rupture
170,2,37,0.5095,0.4595,0.3311,0.75,0.7809,0.9916,5,0.1351,0.8649,1,37,1.0,0.0,1,rupture,default_rupture,Rupture
174,3,66,0.4917,0.4,0.453,0.75,0.5832,0.9976,22,0.3333,0.6667,1,39,0.5909,0.4091,1,rupture,injury,Injury
178,1,25,0.502,0.35,0.292,0.55,0.6237,0.8709,1,0.04,0.96,1,21,0.84,0.16,1,rupture,adaptive_rupture,Rupture
179,1,20,0.4425,0.355,0.2375,0.45,0.6269,0.9189,0,0.0,1.0,0,18,0.9,0.1,1,rupture,injury,Injury
180,1,13,0.6231,0.3731,0.3577,0.45,0.7557,0.9775,0,0.0,1.0,0,12,0.9231,0.0769,1,rupture,politicizing_rupture,Distrust
181,1,24,0.4688,0.3125,0.2479,0.45,0.462,0.5413,0,0.0,1.0,0,4,0.1667,0.8333,1,rupture,injury,Injury
184,1,25,0.498,0.472,0.226,0.55,0.2364,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,injury_disrupted,Injury
185,1,23,0.5343,0.4196,0.2652,0.45,0.2787,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
186,1,22,0.5159,0.4636,0.2705,0.45,0.5869,0.9495,0,0.0,1.0,0,21,0.9545,0.0455,1,rupture,default_rupture,Rupture
187,1,16,0.5062,0.4625,0.1719,0.35,0.3677,0.9169,0,0.0,1.0,0,1,0.0625,0.9375,1,rupture,default_rupture,Rupture
188,1,23,0.5065,0.4587,0.3739,0.7,0.493,0.9954,4,0.1739,0.8261,1,6,0.2609,0.7391,1,rupture,default_rupture,Rupture
189,1,24,0.5488,0.4158,0.32,0.45,0.359,0.4587,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
191,1,23,0.5174,0.4652,0.3152,0.7,0.6259,0.7478,2,0.087,0.913,1,20,0.8696,0.1304,1,rupture,default_rupture,Rupture
192,1,25,0.518,0.484,0.424,0.65,0.4988,0.65,7,0.28,0.72,1,9,0.36,0.64,1,rupture,default_rupture,Rupture
193,1,18,0.525,0.4111,0.2944,0.45,0.546,0.9395,0,0.0,1.0,0,9,0.5,0.5,1,rupture,adaptive_rupture,Rupture
195,2,39,0.4949,0.3603,0.2615,0.45,0.4089,1.0,0,0.0,1.0,0,1,0.0256,0.9744,1,rupture,injury,Injury
196,3,69,0.4674,0.3884,0.2319,0.45,0.2853,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
198,1,23,0.487,0.4761,0.5248,0.72,0.7169,0.9223,14,0.6087,0.3913,1,23,1.0,0.0,1,rupture,injury_disrupted,Injury
205,1,21,0.389,0.3133,0.3038,0.45,0.558,1.0,0,0.0,1.0,0,9,0.4286,0.5714,1,rupture,injury,Injury
207,2,28,0.5132,0.3064,0.2864,0.55,0.4089,0.5515,1,0.0357,0.9643,1,2,0.0714,0.9286,1,rupture,adaptive_rupture,Rupture
209,2,49,0.5122,0.4439,0.2857,0.45,0.4065,0.6919,0,0.0,1.0,0,2,0.0408,0.9592,1,rupture,default_rupture,Rupture
210,1,19,0.5158,0.4289,0.3421,0.7,0.3932,0.7,2,0.1053,0.8947,1,2,0.1053,0.8947,1,rupture,adaptive_rupture,Rupture
211,1,25,0.522,0.382,0.322,0.45,0.475,0.5981,0,0.0,1.0,0,9,0.36,0.64,1,rupture,adaptive_rupture,Rupture
212,1,25,0.4992,0.3548,0.2748,0.55,0.3938,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,injury,Injury
214,1,25,0.5536,0.416,0.32,0.7,0.4387,0.7,2,0.08,0.92,1,7,0.28,0.72,1,rupture,politicizing_rupture,Distrust
221,2,36,0.5331,0.3278,0.4278,0.8,0.4781,0.8,8,0.2222,0.7778,1,14,0.3889,0.6111,1,rupture,adaptive_rupture,Rupture
222,1,20,0.5025,0.48,0.3575,0.7,0.3701,0.7,2,0.1,0.9,1,2,0.1,0.9,1,rupture,default_rupture,Rupture
231,2,19,0.5232,0.4558,0.3253,0.45,0.4161,0.7076,0,0.0,1.0,0,1,0.0526,0.9474,1,rupture,default_rupture,Rupture
232,2,36,0.4847,0.4347,0.3269,0.7,0.4875,0.9611,4,0.1111,0.8889,1,14,0.3889,0.6111,1,rupture,injury_disrupted,Injury
233,1,17,0.5365,0.2282,0.3753,0.55,0.3775,0.55,2,0.1176,0.8824,1,2,0.1176,0.8824,1,rupture,adaptive_rupture,Rupture
234,1,15,0.4867,0.32,0.2547,0.62,0.4787,0.62,1,0.0667,0.9333,1,3,0.2,0.8,1,rupture,injury,Injury
235,1,25,0.55,0.386,0.292,0.3,0.2958,0.3508,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
236,2,43,0.5116,0.4186,0.2349,0.45,0.4585,0.7397,0,0.0,1.0,0,17,0.3953,0.6047,1,rupture,adaptive_rupture,Rupture
237,2,17,0.4735,0.3206,0.3059,1.0,0.381,1.0,1,0.0588,0.9412,1,1,0.0588,0.9412,1,rupture,injury,Injury
239,1,18,0.5394,0.3228,0.3356,0.7,0.4343,0.7,2,0.1111,0.8889,1,2,0.1111,0.8889,1,rupture,adaptive_rupture,Rupture
244,1,16,0.5188,0.4375,0.4125,0.7,0.525,0.7028,5,0.3125,0.6875,1,8,0.5,0.5,1,rupture,default_rupture,Rupture
245,1,17,0.4394,0.3194,0.3547,0.65,0.3603,0.65,1,0.0588,0.9412,1,1,0.0588,0.9412,1,rupture,injury,Injury
246,2,29,0.4724,0.3552,0.3293,0.45,0.452,0.6055,0,0.0,1.0,0,6,0.2069,0.7931,1,rupture,injury,Injury
247,1,16,0.4688,0.3,0.3094,0.45,0.4124,0.4775,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
248,1,12,0.4833,0.2708,0.2833,0.45,0.3147,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
249,1,19,0.4711,0.3579,0.3342,0.45,0.348,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
250,1,15,0.5,0.4167,0.5787,0.8,0.7154,0.8138,8,0.5333,0.4667,1,15,1.0,0.0,1,rupture,adaptive_rupture,Rupture
251,1,11,0.4882,0.2982,0.2973,0.35,0.6636,0.8542,0,0.0,1.0,0,10,0.9091,0.0909,1,rupture,injury,Injury
254,1,16,0.35,0.2,0.45,0.45,0.45,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
256,1,19,0.5289,0.4421,0.5632,0.8,0.5692,0.8,12,0.6316,0.3684,1,12,0.6316,0.3684,1,rupture,default_rupture,Rupture
257,1,10,0.485,0.28,0.205,0.35,0.8478,0.9119,0,0.0,1.0,0,10,1.0,0.0,1,rupture,injury,Injury
258,1,8,0.4625,0.2875,0.3688,0.55,0.4203,0.55,1,0.125,0.875,1,1,0.125,0.875,1,rupture,injury,Injury
259,1,13,0.5,0.4346,0.3785,0.72,0.4087,0.72,1,0.0769,0.9231,1,2,0.1538,0.8462,1,rupture,default_rupture,Rupture
260,1,9,0.5611,0.4444,0.3778,0.55,0.3808,0.55,1,0.1111,0.8889,1,1,0.1111,0.8889,1,rupture,distrust,Distrust
264,1,25,0.494,0.386,0.256,0.45,0.3875,0.4548,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
265,1,7,0.4857,0.3214,0.3643,0.45,0.3643,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
266,1,12,0.5167,0.4125,0.5708,0.8,0.5991,0.8,7,0.5833,0.4167,1,9,0.75,0.25,1,rupture,adaptive_rupture,Rupture
267,1,10,0.52,0.455,0.43,0.7,0.4698,0.7,3,0.3,0.7,1,3,0.3,0.7,1,rupture,default_rupture,Rupture
268,1,8,0.5125,0.3375,0.4125,0.55,0.4133,0.55,2,0.25,0.75,1,2,0.25,0.75,1,rupture,adaptive_rupture,Rupture
269,1,12,0.4542,0.3208,0.3083,0.45,0.5033,0.5531,0,0.0,1.0,0,8,0.6667,0.3333,1,rupture,injury,Injury
277,2,37,0.5027,0.323,0.2973,0.55,0.4218,0.6156,1,0.027,0.973,1,3,0.0811,0.9189,1,rupture,adaptive_rupture,Rupture
278,2,31,0.5194,0.4403,0.3242,0.6,0.5477,0.7554,2,0.0645,0.9355,1,23,0.7419,0.2581,1,rupture,default_rupture,Rupture
284,1,9,0.5111,0.4,0.4444,0.6,0.4486,0.6,4,0.4444,0.5556,1,4,0.4444,0.5556,1,rupture,adaptive_rupture,Rupture
285,1,8,0.4875,0.4188,0.3375,0.6,0.672,0.7188,1,0.125,0.875,1,8,1.0,0.0,1,rupture,injury,Injury
286,1,10,0.465,0.275,0.375,0.45,0.4786,0.58,0,0.0,1.0,0,3,0.3,0.7,1,rupture,injury,Injury
287,2,39,0.5256,0.241,0.2103,0.45,0.3606,0.4841,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
288,1,22,0.4909,0.4205,0.3,0.4,0.3041,0.4,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
289,1,24,0.4792,0.3854,0.2417,0.4,0.3323,0.4217,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
290,1,25,0.49,0.376,0.306,0.55,0.5479,0.706,2,0.08,0.92,1,18,0.72,0.28,1,rupture,injury,Injury
291,1,25,0.5,0.412,0.208,0.4,0.4307,0.4889,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
292,1,25,0.532,0.412,0.262,0.45,0.4912,1.0,0,0.0,1.0,0,7,0.28,0.72,1,rupture,adaptive_rupture,Rupture
293,2,49,0.5122,0.4071,0.3459,0.7,0.6506,0.835,4,0.0816,0.9184,1,49,1.0,0.0,1,rupture,adaptive_rupture,Rupture
294,2,47,0.5117,0.4074,0.2234,0.3,0.38,0.6392,0,0.0,1.0,0,3,0.0638,0.9362,1,rupture,adaptive_rupture,Rupture
295,1,25,0.5072,0.3928,0.2792,0.45,0.3811,0.4901,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
296,2,36,0.4931,0.4042,0.225,0.55,0.5277,0.7584,1,0.0278,0.9722,1,21,0.5833,0.4167,1,rupture,injury,Injury
298,1,24,0.5167,0.425,0.2979,0.45,0.5297,0.6055,0,0.0,1.0,0,18,0.75,0.25,1,rupture,adaptive_rupture,Rupture
299,1,25,0.542,0.432,0.26,0.45,0.3214,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,distrust,Distrust
300,1,23,0.5065,0.4652,0.3304,0.55,0.3806,1.0,2,0.087,0.913,1,3,0.1304,0.8696,1,rupture,default_rupture,Rupture
301,1,22,0.4827,0.3264,0.2236,0.35,0.3632,0.6023,0,0.0,1.0,0,2,0.0909,0.9091,1,rupture,injury,Injury
302,1,19,0.5,0.3605,0.1974,0.35,0.2278,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
305,1,25,0.512,0.39,0.3,0.45,0.5945,0.685,0,0.0,1.0,0,24,0.96,0.04,1,rupture,adaptive_rupture,Rupture
306,1,24,0.5125,0.4083,0.2896,0.55,0.4189,0.6135,1,0.0417,0.9583,1,4,0.1667,0.8333,1,rupture,adaptive_rupture,Rupture
310,1,25,0.502,0.448,0.354,0.7,0.4439,0.7,2,0.08,0.92,1,2,0.08,0.92,1,rupture,default_rupture,Rupture
311,1,19,0.4921,0.3868,0.2921,0.55,0.3188,0.55,1,0.0526,0.9474,1,1,0.0526,0.9474,1,rupture,injury,Injury
313,1,21,0.4967,0.3752,0.1724,0.35,0.5853,0.7522,0,0.0,1.0,0,19,0.9048,0.0952,1,rupture,injury,Injury
314,1,24,0.4708,0.3917,0.3187,0.55,0.3613,0.55,2,0.0833,0.9167,1,2,0.0833,0.9167,1,rupture,injury,Injury
316,1,24,0.5188,0.4,0.2771,0.4,0.4399,0.9918,0,0.0,1.0,0,5,0.2083,0.7917,1,rupture,adaptive_rupture,Rupture
317,1,13,0.4862,0.3023,0.4723,0.8,0.5304,0.8,3,0.2308,0.7692,1,6,0.4615,0.5385,1,rupture,injury,Injury
318,1,8,0.5062,0.4062,0.525,0.85,0.525,0.85,3,0.375,0.625,1,3,0.375,0.625,1,rupture,adaptive_rupture,Rupture
320,1,10,0.395,0.15,0.18,0.35,0.4366,0.5648,0,0.0,1.0,0,2,0.2,0.8,1,rupture,injury,Injury
321,1,19,0.5316,0.4632,0.2868,0.6,0.4003,0.6,1,0.0526,0.9474,1,2,0.1053,0.8947,1,rupture,default_rupture,Rupture
322,2,47,0.407,0.3017,0.2804,0.4,0.4522,0.8406,0,0.0,1.0,0,13,0.2766,0.7234,1,rupture,injury,Injury
323,1,18,0.5194,0.3639,0.3167,0.55,0.3628,0.55,1,0.0556,0.9444,1,1,0.0556,0.9444,1,rupture,adaptive_rupture,Rupture
324,2,28,0.4757,0.2582,0.1989,0.35,0.3505,0.4905,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
325,1,23,0.5326,0.4435,0.2848,0.75,0.5679,0.9984,1,0.0435,0.9565,1,12,0.5217,0.4783,1,rupture,default_rupture,Rupture
327,1,23,0.5152,0.4457,0.2935,0.45,0.3189,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,default_rupture,Rupture
328,1,25,0.5096,0.392,0.3964,0.58,0.5696,0.6763,4,0.16,0.84,1,24,0.96,0.04,1,rupture,adaptive_rupture,Rupture
329,1,24,0.5217,0.4675,0.2971,0.55,0.5008,0.6139,1,0.0417,0.9583,1,13,0.5417,0.4583,1,rupture,default_rupture,Rupture
330,1,25,0.53,0.446,0.352,0.7,0.4042,0.7,4,0.16,0.84,1,4,0.16,0.84,1,rupture,default_rupture,Rupture
