interview_id,narrator_id,n_segments,authority_stance_mean,authority_stance_std,belonging_stance_mean,belonging_stance_std,authority_stance_min,authority_stance_max,belonging_stance_min,belonging_stance_max,composure_score_mean,composure_score_max,how_multimodal_score_mean,how_multimodal_score_max,n_discomposed_text,share_discomposed_text,share_composed_text,how_text_any_discomposed,n_discomposed,share_discomposed,share_composed,how_any_discomposed,region_label,region_6,outcome_3class
ddr-densho-1000-12,14,25,0.502,0.01,0.444,0.0982,0.5,0.55,0.1,0.5,0.194,0.35,0.2416,0.6184,0,0.0,1.0,0,1,0.04,0.96,1,rupture,default_rupture,Rupture
ddr-densho-1000-120,118,10,0.465,0.0818,0.385,0.118,0.3,0.55,0.15,0.5,0.22,0.35,0.6333,0.8443,0,0.0,1.0,0,8,0.8,0.2,1,rupture,injury,Injury
ddr-densho-1000-122,120,17,0.4941,0.0882,0.4618,0.1166,0.2,0.6,0.15,0.6,0.3441,0.65,0.4019,0.65,3,0.1765,0.8235,1,3,0.1765,0.8235,1,rupture,injury_disrupted,Injury
ddr-densho-1000-123,121,25,0.536,0.1168,0.37,0.1216,0.3,0.8,0.15,0.7,0.228,0.4,0.3217,0.5195,0,0.0,1.0,0,1,0.04,0.96,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-124,121,14,0.5429,0.0997,0.2679,0.0846,0.35,0.75,0.2,0.45,0.2357,0.35,0.2872,0.3837,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
ddr-densho-1000-125,121,9,0.3611,0.1364,0.2389,0.1269,0.2,0.5,0.15,0.55,0.25,0.35,0.3759,0.8318,0,0.0,1.0,0,1,0.1111,0.8889,1,rupture,injury,Injury
ddr-densho-1000-128,123,23,0.4674,0.1072,0.2522,0.1534,0.2,0.75,0.05,0.5,0.187,0.35,0.2865,0.3684,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-129,124,25,0.4988,0.1659,0.2072,0.108,0.2,0.8,0.1,0.5,0.1812,0.3,0.2369,0.351,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-130,125,21,0.4205,0.2261,0.2343,0.1238,0.18,0.85,0.1,0.45,0.3152,0.35,0.36,0.4097,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-131,108,17,0.5559,0.1345,0.3941,0.121,0.35,0.9,0.2,0.5,0.3676,0.7,0.6515,0.7,2,0.1176,0.8824,1,17,1.0,0.0,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-132,126,25,0.5148,0.039,0.4752,0.1174,0.45,0.62,0.2,0.65,0.3252,0.55,0.5991,0.7894,1,0.04,0.96,1,24,0.96,0.04,1,rupture,default_rupture,Rupture
ddr-densho-1000-135,129,75,0.5067,0.0445,0.482,0.0705,0.4,0.7,0.2,0.6,0.5751,0.75,0.8049,0.9637,57,0.76,0.24,1,71,0.9467,0.0533,1,rupture,default_rupture,Rupture
ddr-densho-1000-136,130,21,0.5405,0.131,0.3167,0.1363,0.2,0.85,0.1,0.55,0.3405,0.45,0.4536,0.6827,0,0.0,1.0,0,5,0.2381,0.7619,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-137,129,25,0.5348,0.0821,0.4268,0.122,0.4,0.8,0.2,0.6,0.3712,0.65,0.4097,0.65,2,0.08,0.92,1,3,0.12,0.88,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-138,131,25,0.5228,0.0753,0.4252,0.1242,0.42,0.8,0.1,0.55,0.3552,0.6,0.6236,0.9958,2,0.08,0.92,1,22,0.88,0.12,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-139,132,24,0.4937,0.0798,0.4354,0.0891,0.3,0.7,0.2,0.6,0.3375,0.45,0.4705,0.5951,0,0.0,1.0,0,6,0.25,0.75,1,rupture,injury_disrupted,Injury
ddr-densho-1000-14,17,25,0.496,0.0923,0.43,0.1099,0.2,0.7,0.15,0.5,0.278,0.45,0.3644,0.5935,0,0.0,1.0,0,3,0.12,0.88,1,rupture,injury_disrupted,Injury
ddr-densho-1000-140,133,22,0.4977,0.0838,0.4114,0.1309,0.2,0.7,0.15,0.5,0.3045,0.65,0.4492,0.65,2,0.0909,0.9091,1,8,0.3636,0.6364,1,rupture,injury,Injury
ddr-densho-1000-142,135,24,0.5104,0.0489,0.4604,0.1083,0.35,0.6,0.2,0.65,0.2396,0.35,0.7334,0.8862,0,0.0,1.0,0,23,0.9583,0.0417,1,rupture,default_rupture,Rupture
ddr-densho-1000-143,136,25,0.5148,0.0332,0.4328,0.0886,0.45,0.62,0.2,0.65,0.356,0.62,0.398,0.62,3,0.12,0.88,1,4,0.16,0.84,1,rupture,default_rupture,Rupture
ddr-densho-1000-145,58,25,0.502,0.01,0.438,0.1034,0.5,0.55,0.2,0.55,0.284,0.6,0.4273,0.6,1,0.04,0.96,1,4,0.16,0.84,1,rupture,default_rupture,Rupture
ddr-densho-1000-148,147,24,0.5383,0.0951,0.4138,0.0972,0.45,0.8,0.2,0.55,0.3325,0.55,0.4037,0.55,1,0.0417,0.9583,1,1,0.0417,0.9583,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-15,16,25,0.49,0.0804,0.424,0.1156,0.25,0.7,0.2,0.55,0.43,0.75,0.4641,0.9565,6,0.24,0.76,1,7,0.28,0.72,1,rupture,injury,Injury
ddr-densho-1000-150,123,24,0.4188,0.115,0.1354,0.0599,0.2,0.55,0.05,0.3,0.1792,0.35,0.258,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-151,149,23,0.5174,0.0861,0.5043,0.0737,0.35,0.8,0.35,0.7,0.3087,0.45,0.361,0.9946,0,0.0,1.0,0,1,0.0435,0.9565,1,rupture,default_rupture,Rupture
ddr-densho-1000-152,150,23,0.5335,0.0815,0.4422,0.1132,0.45,0.8,0.1,0.65,0.3622,0.7,0.4656,0.7,1,0.0435,0.9565,1,8,0.3478,0.6522,1,rupture,default_rupture,Rupture
ddr-densho-1000-153,151,25,0.502,0.0176,0.456,0.1167,0.45,0.55,0.1,0.55,0.526,0.85,0.5893,0.85,15,0.6,0.4,1,21,0.84,0.16,1,rupture,default_rupture,Rupture
ddr-densho-1000-154,170,23,0.537,0.0568,0.4978,0.1182,0.5,0.7,0.3,0.8,0.287,0.6,0.8198,0.9916,1,0.0435,0.9565,1,23,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-densho-1000-157,174,24,0.4917,0.0803,0.4042,0.1093,0.2,0.65,0.15,0.5,0.45,0.7,0.6427,0.9697,8,0.3333,0.6667,1,19,0.7917,0.2083,1,rupture,injury,Injury
ddr-densho-1000-158,174,21,0.519,0.0536,0.4238,0.0584,0.45,0.7,0.3,0.5,0.5024,0.75,0.6128,0.9976,10,0.4762,0.5238,1,15,0.7143,0.2857,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-16,18,9,0.6389,0.2219,0.2167,0.0935,0.2,0.95,0.1,0.35,0.2944,0.35,0.4643,0.5731,0,0.0,1.0,0,2,0.2222,0.7778,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-163,174,21,0.4643,0.1153,0.3714,0.1338,0.2,0.6,0.1,0.5,0.4071,0.7,0.4856,0.9971,4,0.1905,0.8095,1,5,0.2381,0.7619,1,rupture,injury,Injury
ddr-densho-1000-164,178,25,0.502,0.1327,0.35,0.1493,0.2,0.8,0.1,0.55,0.292,0.55,0.6237,0.8709,1,0.04,0.96,1,21,0.84,0.16,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-165,139,23,0.5357,0.0674,0.4752,0.1211,0.4,0.72,0.2,0.7,0.3404,0.6,0.4664,0.6,1,0.0435,0.9565,1,5,0.2174,0.7826,1,rupture,default_rupture,Rupture
ddr-densho-1000-166,179,20,0.4425,0.1115,0.355,0.1589,0.15,0.5,0.1,0.55,0.2375,0.45,0.6269,0.9189,0,0.0,1.0,0,18,0.9,0.1,1,rupture,injury,Injury
ddr-densho-1000-167,180,13,0.6231,0.1986,0.3731,0.1602,0.2,0.9,0.2,0.65,0.3577,0.45,0.7557,0.9775,0,0.0,1.0,0,12,0.9231,0.0769,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-168,181,24,0.4688,0.0805,0.3125,0.1534,0.2,0.6,0.05,0.5,0.2479,0.45,0.462,0.5413,0,0.0,1.0,0,4,0.1667,0.8333,1,rupture,injury,Injury
ddr-densho-1000-170,184,25,0.498,0.0367,0.472,0.1042,0.35,0.6,0.15,0.7,0.226,0.55,0.2364,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,injury_disrupted,Injury
ddr-densho-1000-171,185,23,0.5343,0.0963,0.4196,0.1163,0.3,0.8,0.15,0.6,0.2652,0.45,0.2787,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-172,189,24,0.5488,0.1091,0.4158,0.1407,0.3,0.88,0.15,0.65,0.32,0.45,0.359,0.4587,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
ddr-densho-1000-174,191,23,0.5174,0.0442,0.4652,0.1112,0.45,0.65,0.1,0.6,0.3152,0.7,0.6259,0.7478,2,0.087,0.913,1,20,0.8696,0.1304,1,rupture,default_rupture,Rupture
ddr-densho-1000-181,205,21,0.389,0.1586,0.3133,0.1783,0.12,0.65,0.1,0.65,0.3038,0.45,0.558,1.0,0,0.0,1.0,0,9,0.4286,0.5714,1,rupture,injury,Injury
ddr-densho-1000-182,207,25,0.5388,0.1574,0.3312,0.1486,0.2,0.8,0.05,0.5,0.2888,0.55,0.4089,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-184,209,25,0.506,0.022,0.464,0.081,0.5,0.6,0.15,0.5,0.268,0.45,0.3741,0.4955,0,0.0,1.0,0,0,0.0,1.0,0,rupture,default_rupture,Rupture
ddr-densho-1000-185,209,24,0.5187,0.0462,0.4229,0.1179,0.5,0.7,0.15,0.6,0.3042,0.45,0.4401,0.6919,0,0.0,1.0,0,2,0.0833,0.9167,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-186,210,19,0.5158,0.0239,0.4289,0.1058,0.5,0.55,0.2,0.5,0.3421,0.7,0.3932,0.7,2,0.1053,0.8947,1,2,0.1053,0.8947,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-187,211,25,0.522,0.0947,0.382,0.118,0.2,0.7,0.1,0.5,0.322,0.45,0.475,0.5981,0,0.0,1.0,0,9,0.36,0.64,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-188,212,25,0.4992,0.077,0.3548,0.1338,0.18,0.6,0.1,0.55,0.2748,0.55,0.3938,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,injury,Injury
ddr-densho-1000-189,214,25,0.5536,0.0871,0.416,0.1048,0.35,0.7,0.2,0.65,0.32,0.7,0.4387,0.7,2,0.08,0.92,1,7,0.28,0.72,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-196,221,23,0.5465,0.1036,0.3639,0.1382,0.4,0.8,0.15,0.5,0.4122,0.8,0.4327,0.8,4,0.1739,0.8261,1,5,0.2174,0.7826,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-197,222,20,0.5025,0.0112,0.48,0.0548,0.5,0.55,0.3,0.55,0.3575,0.7,0.3701,0.7,2,0.1,0.9,1,2,0.1,0.9,1,rupture,default_rupture,Rupture
ddr-densho-1000-2,2,25,0.5348,0.1353,0.4008,0.1807,0.15,0.85,0.1,0.85,0.3032,0.55,0.3614,0.55,1,0.04,0.96,1,1,0.04,0.96,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-201,264,25,0.494,0.0391,0.386,0.1335,0.4,0.6,0.15,0.5,0.256,0.45,0.3875,0.4548,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-202,287,23,0.5652,0.1318,0.2935,0.1441,0.45,0.95,0.1,0.55,0.2543,0.45,0.3467,0.4576,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
ddr-densho-1000-203,288,22,0.4909,0.0549,0.4205,0.0996,0.3,0.55,0.15,0.5,0.3,0.4,0.3041,0.4,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-204,289,24,0.4792,0.053,0.3854,0.1363,0.3,0.5,0.1,0.5,0.2417,0.4,0.3323,0.4217,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-205,290,25,0.49,0.0791,0.376,0.1408,0.3,0.7,0.1,0.6,0.306,0.55,0.5479,0.706,2,0.08,0.92,1,18,0.72,0.28,1,rupture,injury,Injury
ddr-densho-1000-206,291,25,0.5,0.0878,0.412,0.1166,0.2,0.7,0.15,0.55,0.208,0.4,0.4307,0.4889,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-207,292,25,0.532,0.0748,0.412,0.1252,0.45,0.8,0.2,0.6,0.262,0.45,0.4912,1.0,0,0.0,1.0,0,7,0.28,0.72,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-208,293,24,0.5396,0.078,0.4479,0.1005,0.45,0.7,0.1,0.55,0.3021,0.7,0.6463,0.835,1,0.0417,0.9583,1,24,1.0,0.0,1,rupture,default_rupture,Rupture
ddr-densho-1000-209,293,25,0.486,0.093,0.368,0.1471,0.2,0.65,0.1,0.6,0.388,0.55,0.6548,0.8037,3,0.12,0.88,1,25,1.0,0.0,1,rupture,injury,Injury
ddr-densho-1000-210,1,15,0.5713,0.1668,0.342,0.1539,0.2,0.9,0.1,0.6,0.2947,0.35,0.3137,0.4171,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
ddr-densho-1000-211,296,25,0.502,0.0467,0.41,0.1031,0.4,0.6,0.15,0.5,0.23,0.55,0.5184,0.7584,1,0.04,0.96,1,13,0.52,0.48,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-213,299,25,0.542,0.1096,0.432,0.0923,0.35,0.8,0.2,0.55,0.26,0.45,0.3214,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,distrust,Distrust
ddr-densho-1000-214,300,23,0.5065,0.057,0.4652,0.0922,0.35,0.7,0.2,0.6,0.3304,0.55,0.3806,1.0,2,0.087,0.913,1,3,0.1304,0.8696,1,rupture,default_rupture,Rupture
ddr-densho-1000-215,298,24,0.5167,0.067,0.425,0.1113,0.35,0.75,0.2,0.55,0.2979,0.45,0.5297,0.6055,0,0.0,1.0,0,18,0.75,0.25,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-216,301,22,0.4827,0.0907,0.3264,0.1356,0.2,0.62,0.1,0.5,0.2236,0.35,0.3632,0.6023,0,0.0,1.0,0,2,0.0909,0.9091,1,rupture,injury,Injury
ddr-densho-1000-217,302,19,0.5,0.0289,0.3605,0.1197,0.4,0.55,0.15,0.5,0.1974,0.35,0.2278,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-218,310,25,0.502,0.0269,0.448,0.0907,0.4,0.55,0.2,0.6,0.354,0.7,0.4439,0.7,2,0.08,0.92,1,2,0.08,0.92,1,rupture,default_rupture,Rupture
ddr-densho-1000-219,296,11,0.4727,0.0932,0.3909,0.1463,0.2,0.55,0.15,0.5,0.2136,0.35,0.549,0.7117,0,0.0,1.0,0,8,0.7273,0.2727,1,rupture,injury,Injury
ddr-densho-1000-22,21,25,0.512,0.0582,0.426,0.1393,0.45,0.7,0.05,0.65,0.266,0.6,0.4729,0.628,1,0.04,0.96,1,9,0.36,0.64,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-220,140,16,0.5531,0.1008,0.4094,0.0917,0.5,0.8,0.25,0.55,0.2562,0.35,0.6058,0.7907,0,0.0,1.0,0,15,0.9375,0.0625,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-221,321,19,0.5316,0.0931,0.4632,0.0831,0.35,0.8,0.35,0.7,0.2868,0.6,0.4003,0.6,1,0.0526,0.9474,1,2,0.1053,0.8947,1,rupture,default_rupture,Rupture
ddr-densho-1000-222,322,25,0.4872,0.1081,0.4352,0.1531,0.2,0.7,0.15,0.7,0.2632,0.4,0.4312,0.5728,0,0.0,1.0,0,6,0.24,0.76,1,rupture,injury_disrupted,Injury
ddr-densho-1000-223,323,18,0.5194,0.071,0.3639,0.1433,0.45,0.7,0.1,0.5,0.3167,0.55,0.3628,0.55,1,0.0556,0.9444,1,1,0.0556,0.9444,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-226,338,25,0.48,0.0901,0.438,0.1416,0.2,0.7,0.1,0.65,0.2,0.45,0.4704,0.6953,0,0.0,1.0,0,8,0.32,0.68,1,rupture,injury_disrupted,Injury
ddr-densho-1000-227,354,25,0.514,0.0421,0.5,0.0354,0.5,0.7,0.4,0.6,0.384,0.65,0.4668,0.65,6,0.24,0.76,1,9,0.36,0.64,1,rupture,default_rupture,Rupture
ddr-densho-1000-228,355,20,0.5225,0.0966,0.43,0.1081,0.2,0.7,0.15,0.6,0.3025,0.45,0.5128,0.6189,0,0.0,1.0,0,11,0.55,0.45,1,rupture,default_rupture,Rupture
ddr-densho-1000-23,23,24,0.5187,0.0818,0.4583,0.0881,0.35,0.7,0.15,0.55,0.2917,0.85,0.663,0.9966,1,0.0417,0.9583,1,18,0.75,0.25,1,rupture,default_rupture,Rupture
ddr-densho-1000-230,287,16,0.4688,0.0946,0.1656,0.1423,0.3,0.7,0.0,0.5,0.1469,0.2,0.3805,0.4841,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-231,353,25,0.5468,0.1362,0.4112,0.1429,0.2,0.85,0.1,0.65,0.2168,0.35,0.2778,0.35,0,0.0,1.0,0,0,0.0,1.0,0,rupture,politicizing_rupture,Distrust
ddr-densho-1000-232,361,18,0.4944,0.0291,0.4167,0.1295,0.45,0.55,0.1,0.5,0.2111,0.35,0.3859,0.4704,0,0.0,1.0,0,0,0.0,1.0,0,rupture,injury,Injury
ddr-densho-1000-236,372,23,0.5065,0.083,0.4413,0.0996,0.2,0.7,0.1,0.5,0.187,0.35,0.2807,0.4196,0,0.0,1.0,0,0,0.0,1.0,0,rupture,default_rupture,Rupture
ddr-densho-1000-238,374,25,0.5,0.0957,0.376,0.1355,0.2,0.8,0.1,0.5,0.318,0.45,0.3256,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-24,26,25,0.52,0.05,0.496,0.038,0.5,0.7,0.4,0.55,0.5,0.75,0.5043,0.75,12,0.48,0.52,1,12,0.48,0.52,1,rupture,default_rupture,Rupture
ddr-densho-1000-240,387,17,0.5176,0.0303,0.4824,0.0585,0.5,0.6,0.35,0.55,0.3353,0.6,0.6564,0.8642,1,0.0588,0.9412,1,15,0.8824,0.1176,1,rupture,default_rupture,Rupture
ddr-densho-1000-241,388,21,0.5071,0.0364,0.4,0.1275,0.45,0.6,0.1,0.5,0.2143,0.35,0.4,0.6124,0,0.0,1.0,0,4,0.1905,0.8095,1,rupture,adaptive_rupture,Rupture
ddr-densho-1000-244,391,11,0.5636,0.1776,0.4136,0.1416,0.35,0.85,0.15,0.55,0.2909,0.4,0.4787,0.5541,0,0.0,1.0,0,4,0.3636,0.6364,1,rupture,politicizing_rupture,Distrust
ddr-densho-1000-245,392,25,0.518,0.0405,0.494,0.0416,0.5,0.65,0.35,0.55,0.4528,0.72,0.4729,0.72,9,0.36,0.64,1,9,0.36,0.64,1,rupture,default_rupture,Rupture
ddr-densho-1000-246,393,25,0.5136,0.0895,0.434,0.1102,0.3,0.72,0.2,0.6,0.32,0.45,0.3867,0.45,0,0.0,1.0,0,0,0.0,1.0,0,rupture,default_rupture,Rupture
ddr-densho-1000-248,387,24,0.4813,0.064,0.3042,0.1587,0.25,0.55,0.1,0.6,0.2604,0.45,0.6068,1.0,0,0.0,1.0,0,16,0.6667,0.3333,1,rupture,injury,Injury
ddr-densho-1000-249,405,22,0.5,0.0845,0.4045,0.1214,0.2,0.7,0.15,0.55,0.1773,0.3,0.3071,0.3627,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-25,27,24,0.5021,0.0102,0.4979,0.0102,0.5,0.55,0.45,0.5,0.3625,0.8,0.5965,0.8712,5,0.2083,0.7917,1,17,0.7083,0.2917,1,rupture,default_rupture,Rupture
ddr-densho-1000-250,18,25,0.4768,0.1173,0.4012,0.1525,0.2,0.72,0.1,0.75,0.2148,0.35,0.4432,0.5199,0,0.0,1.0,0,1,0.04,0.96,1,rupture,injury,Injury
ddr-densho-1000-251,406,15,0.5233,0.1425,0.4033,0.1494,0.2,0.8,0.15,0.7,0.3,0.45,0.3317,0.4569,0,0.0,1.0,0,0,0.0,1.0,0,rupture,adaptive_rupture,Rupture
ddr-densho-1000-252,407,16,0.4919,0.1314,0.3612,0.1791,0.15,0.82,0.0,0.65,0.3075,0.65,0.4546,0.7284,1,0.0625,0.9375,1,5,0.3125,0.6875,1,rupture,injury,Injury
