narrator_id,n_interviews,n_segments,authority_stance,belonging_stance,composure_score_mean,n_discomposed_text,how_text_any_discomposed,region_label,region_6,outcome_3class
191,1,23,0.5174,0.4652,0.3152,2,1,rupture,default_rupture,Rupture
192,1,25,0.518,0.484,0.424,7,1,rupture,default_rupture,Rupture
193,1,18,0.525,0.4111,0.2944,0,0,rupture,adaptive_rupture,Injury
195,2,39,0.4949,0.3603,0.2615,0,0,rupture,injury,Injury
196,3,69,0.4674,0.3884,0.2319,0,0,rupture,injury,Injury
198,1,23,0.487,0.4761,0.5248,14,1,rupture,injury_disrupted,Injury
205,1,21,0.389,0.3133,0.3038,0,0,rupture,injury,Injury
207,2,28,0.5132,0.3064,0.2864,1,1,rupture,adaptive_rupture,Injury
209,2,49,0.5122,0.4439,0.2857,0,0,rupture,adaptive_rupture,Injury
210,1,19,0.5158,0.4289,0.3421,2,1,rupture,adaptive_rupture,Injury
211,1,25,0.522,0.382,0.322,0,0,rupture,adaptive_rupture,Injury
212,1,25,0.4992,0.3548,0.2748,1,1,rupture,injury,Injury
214,1,25,0.5536,0.416,0.32,2,1,rupture,adaptive_rupture,Injury
221,2,36,0.533,0.3278,0.4278,8,1,rupture,adaptive_rupture,Injury
222,1,20,0.5025,0.48,0.3575,2,1,rupture,default_rupture,Rupture
231,2,19,0.5232,0.4558,0.3252,0,0,rupture,default_rupture,Rupture
232,2,36,0.4847,0.4347,0.3269,4,1,rupture,injury,Injury
233,1,17,0.5365,0.2282,0.3753,2,1,rupture,adaptive_rupture,Injury
234,1,15,0.4867,0.32,0.2547,1,1,rupture,injury,Injury
235,1,25,0.55,0.386,0.292,0,0,rupture,adaptive_rupture,Injury
236,2,43,0.5116,0.4186,0.2349,0,0,rupture,adaptive_rupture,Injury
237,2,17,0.4736,0.3206,0.3059,1,1,rupture,injury,Injury
239,1,18,0.5394,0.3228,0.3356,2,1,rupture,adaptive_rupture,Injury
244,1,16,0.5188,0.4375,0.4125,5,1,rupture,adaptive_rupture,Injury
245,1,17,0.4394,0.3194,0.3547,1,1,rupture,injury,Injury
246,2,29,0.4724,0.3552,0.3293,0,0,rupture,injury,Injury
247,1,16,0.4688,0.3,0.3094,0,0,rupture,injury,Injury
248,1,12,0.4833,0.2708,0.2833,0,0,rupture,injury,Injury
249,1,19,0.4711,0.3579,0.3342,0,0,rupture,injury,Injury
250,1,15,0.5,0.4167,0.5787,8,1,rupture,adaptive_rupture,Injury
251,1,11,0.4882,0.2982,0.2973,0,0,rupture,injury,Injury
254,1,16,0.35,0.2,0.45,0,0,rupture,injury,Injury
256,1,19,0.5289,0.4421,0.5632,12,1,rupture,adaptive_rupture,Injury
257,1,10,0.485,0.28,0.205,0,0,rupture,injury,Injury
258,1,8,0.4625,0.2875,0.3688,1,1,rupture,injury,Injury
259,1,13,0.5,0.4346,0.3785,1,1,rupture,adaptive_rupture,Injury
260,1,9,0.5611,0.4444,0.3778,1,1,rupture,adaptive_rupture,Injury
264,1,25,0.494,0.386,0.256,0,0,rupture,injury,Injury
265,1,7,0.4857,0.3214,0.3643,0,0,rupture,injury,Injury
266,1,12,0.5167,0.4125,0.5708,7,1,rupture,adaptive_rupture,Injury
267,1,10,0.52,0.455,0.43,3,1,rupture,default_rupture,Rupture
268,1,8,0.5125,0.3375,0.4125,2,1,rupture,adaptive_rupture,Injury
269,1,12,0.4542,0.3208,0.3083,0,0,rupture,injury,Injury
277,2,37,0.5027,0.323,0.2973,1,1,rupture,adaptive_rupture,Injury
278,2,31,0.5193,0.4403,0.3242,2,1,rupture,adaptive_rupture,Injury
284,1,9,0.5111,0.4,0.4444,4,1,rupture,adaptive_rupture,Injury
285,1,8,0.4875,0.4188,0.3375,1,1,rupture,injury,Injury
286,1,10,0.465,0.275,0.375,0,0,rupture,injury,Injury
287,2,39,0.5257,0.241,0.2102,0,0,rupture,adaptive_rupture,Injury
288,1,22,0.4909,0.4205,0.3,0,0,rupture,injury,Injury
289,1,24,0.4792,0.3854,0.2417,0,0,rupture,injury,Injury
290,1,25,0.49,0.376,0.306,2,1,rupture,injury,Injury
291,1,25,0.5,0.412,0.208,0,0,rupture,adaptive_rupture,Injury
292,1,25,0.532,0.412,0.262,0,0,rupture,adaptive_rupture,Injury
293,2,49,0.5123,0.4071,0.3459,4,1,rupture,adaptive_rupture,Injury
294,2,47,0.5117,0.4074,0.2234,0,0,rupture,adaptive_rupture,Injury
295,1,25,0.5072,0.3928,0.2792,0,0,rupture,adaptive_rupture,Injury
296,2,36,0.493,0.4042,0.225,1,1,rupture,injury,Injury
298,1,24,0.5167,0.425,0.2979,0,0,rupture,adaptive_rupture,Injury
299,1,25,0.542,0.432,0.26,0,0,rupture,adaptive_rupture,Injury
300,1,23,0.5065,0.4652,0.3304,2,1,rupture,default_rupture,Rupture
301,1,22,0.4827,0.3264,0.2236,0,0,rupture,injury,Injury
302,1,19,0.5,0.3605,0.1974,0,0,rupture,adaptive_rupture,Injury
305,1,25,0.512,0.39,0.3,0,0,rupture,adaptive_rupture,Injury
306,1,24,0.5125,0.4083,0.2896,1,1,rupture,adaptive_rupture,Injury
310,1,25,0.502,0.448,0.354,2,1,rupture,adaptive_rupture,Injury
311,1,19,0.4921,0.3868,0.2921,1,1,rupture,injury,Injury
313,1,21,0.4967,0.3752,0.1724,0,0,rupture,injury,Injury
314,1,24,0.4708,0.3917,0.3187,2,1,rupture,injury,Injury
316,1,24,0.5188,0.4,0.2771,0,0,rupture,adaptive_rupture,Injury
317,1,13,0.4862,0.3023,0.4723,3,1,rupture,injury,Injury
318,1,8,0.5062,0.4062,0.525,3,1,rupture,adaptive_rupture,Injury
320,1,10,0.395,0.15,0.18,0,0,rupture,injury,Injury
321,1,19,0.5316,0.4632,0.2868,1,1,rupture,default_rupture,Rupture
322,2,47,0.407,0.3017,0.2804,0,0,rupture,injury,Injury
323,1,18,0.5194,0.3639,0.3167,1,1,rupture,adaptive_rupture,Injury
324,2,28,0.4757,0.2582,0.1989,0,0,rupture,injury,Injury
325,1,23,0.5326,0.4435,0.2848,1,1,rupture,adaptive_rupture,Injury
327,1,23,0.5152,0.4457,0.2935,0,0,rupture,adaptive_rupture,Injury
328,1,25,0.5096,0.392,0.3964,4,1,rupture,adaptive_rupture,Injury
329,1,24,0.5217,0.4675,0.2971,1,1,rupture,default_rupture,Rupture
330,1,25,0.53,0.446,0.352,4,1,rupture,adaptive_rupture,Injury
331,1,23,0.5043,0.4761,0.337,0,0,rupture,default_rupture,Rupture
333,1,20,0.51,0.495,0.32,1,1,rupture,default_rupture,Rupture
334,1,25,0.49,0.422,0.232,0,0,rupture,injury,Injury
335,1,25,0.502,0.478,0.298,1,1,rupture,default_rupture,Rupture
336,1,25,0.5108,0.3892,0.2752,0,0,rupture,adaptive_rupture,Injury
337,1,23,0.49,0.4291,0.2935,0,0,rupture,injury,Injury
338,1,25,0.48,0.438,0.2,0,0,rupture,injury,Injury
339,1,25,0.502,0.402,0.298,0,0,rupture,adaptive_rupture,Injury
340,1,17,0.4824,0.3471,0.3029,0,0,rupture,injury,Injury
342,1,20,0.533,0.412,0.388,3,1,rupture,adaptive_rupture,Injury
343,1,23,0.487,0.4043,0.2978,0,0,rupture,injury,Injury
344,1,25,0.49,0.348,0.294,3,1,rupture,injury,Injury
346,1,24,0.5092,0.4596,0.285,0,0,rupture,default_rupture,Rupture
347,1,15,0.4833,0.39,0.2867,1,1,rupture,injury,Injury
348,1,17,0.4853,0.4059,0.2,0,0,rupture,injury,Injury
349,1,20,0.5025,0.4325,0.4295,6,1,rupture,adaptive_rupture,Injury
350,1,72,0.4917,0.4361,0.5196,35,1,rupture,injury,Injury
353,1,25,0.5468,0.4112,0.2168,0,0,rupture,adaptive_rupture,Injury
354,1,25,0.514,0.5,0.384,6,1,rupture,default_rupture,Rupture
355,1,20,0.5225,0.43,0.3025,0,0,rupture,adaptive_rupture,Injury
356,1,25,0.49,0.392,0.294,1,1,rupture,injury,Injury
357,1,25,0.518,0.4344,0.3096,0,0,rupture,adaptive_rupture,Injury
358,1,48,0.4927,0.4813,0.3219,4,1,rupture,injury_disrupted,Injury
361,1,18,0.4944,0.4167,0.2111,0,0,rupture,injury,Injury
363,1,18,0.4972,0.3667,0.2472,1,1,rupture,injury,Injury
364,1,19,0.4974,0.4474,0.3289,2,1,rupture,injury,Injury
365,1,20,0.5125,0.4425,0.315,1,1,rupture,adaptive_rupture,Injury
366,1,25,0.4988,0.4288,0.364,5,1,rupture,injury,Injury
367,1,20,0.4775,0.34,0.28,1,1,rupture,injury,Injury
368,1,23,0.5287,0.3661,0.3122,1,1,rupture,adaptive_rupture,Injury
372,1,23,0.5065,0.4413,0.187,0,0,rupture,adaptive_rupture,Injury
374,1,25,0.5,0.376,0.318,0,0,rupture,adaptive_rupture,Injury
375,2,44,0.492,0.393,0.3193,3,1,rupture,injury,Injury
376,1,14,0.5036,0.4679,0.445,4,1,rupture,default_rupture,Rupture
378,1,25,0.5128,0.4668,0.3552,1,1,rupture,default_rupture,Rupture
379,1,23,0.5152,0.4565,0.2391,0,0,rupture,default_rupture,Rupture
380,1,25,0.512,0.476,0.448,9,1,rupture,default_rupture,Rupture
381,2,49,0.499,0.4541,0.3461,7,1,rupture,injury_disrupted,Injury
382,1,50,0.503,0.453,0.316,3,1,rupture,default_rupture,Rupture
384,1,18,0.5278,0.45,0.3444,0,0,rupture,default_rupture,Rupture
385,1,25,0.5248,0.4368,0.432,7,1,rupture,adaptive_rupture,Injury
387,2,41,0.4964,0.3781,0.2915,1,1,rupture,injury,Injury
388,1,21,0.5071,0.4,0.2143,0,0,rupture,adaptive_rupture,Injury
391,1,11,0.5636,0.4136,0.2909,0,0,rupture,adaptive_rupture,Injury
392,1,25,0.518,0.494,0.4528,9,1,rupture,default_rupture,Rupture
393,1,25,0.5136,0.434,0.32,0,0,rupture,adaptive_rupture,Injury
395,1,24,0.5187,0.3896,0.2292,0,0,rupture,adaptive_rupture,Injury
396,1,22,0.4805,0.4059,0.3714,2,1,rupture,injury,Injury
400,1,25,0.544,0.416,0.206,0,0,rupture,adaptive_rupture,Injury
401,1,18,0.5111,0.4028,0.3,1,1,rupture,adaptive_rupture,Injury
402,1,24,0.5229,0.375,0.2667,0,0,rupture,adaptive_rupture,Injury
403,1,15,0.54,0.39,0.32,2,1,rupture,adaptive_rupture,Injury
405,1,22,0.5,0.4045,0.1773,0,0,rupture,adaptive_rupture,Injury
406,1,15,0.5233,0.4033,0.3,0,0,rupture,adaptive_rupture,Injury
407,1,16,0.4919,0.3612,0.3075,1,1,rupture,injury,Injury
408,1,22,0.4977,0.475,0.3455,1,1,rupture,injury_disrupted,Injury
409,1,20,0.546,0.394,0.339,1,1,rupture,adaptive_rupture,Injury
410,1,21,0.5119,0.4524,0.2738,1,1,rupture,default_rupture,Rupture
411,1,25,0.6308,0.4428,0.3772,4,1,rupture,adaptive_rupture,Injury
412,1,24,0.5,0.4292,0.3183,3,1,rupture,adaptive_rupture,Injury
413,1,21,0.5714,0.5214,0.3952,6,1,rupture,default_rupture,Rupture
415,1,25,0.5448,0.5132,0.3572,2,1,rupture,default_rupture,Rupture
416,1,22,0.5091,0.4227,0.2182,0,0,rupture,adaptive_rupture,Injury
417,1,24,0.5583,0.2833,0.2708,1,1,rupture,adaptive_rupture,Injury
418,1,14,0.575,0.35,0.3036,0,0,rupture,adaptive_rupture,Injury
419,1,25,0.502,0.392,0.314,3,1,rupture,adaptive_rupture,Injury
420,1,23,0.4826,0.4087,0.2326,0,0,rupture,injury,Injury
421,1,25,0.524,0.446,0.338,2,1,rupture,adaptive_rupture,Injury
422,1,24,0.5,0.3896,0.2354,0,0,rupture,adaptive_rupture,Injury
423,1,25,0.518,0.504,0.32,1,1,rupture,default_rupture,Rupture
424,1,25,0.518,0.448,0.288,1,1,rupture,adaptive_rupture,Injury
425,1,24,0.5188,0.525,0.4958,11,1,rupture,default_rupture,Rupture
426,1,25,0.52,0.504,0.6088,18,1,rupture,default_rupture,Rupture
427,1,22,0.5564,0.4755,0.3927,3,1,rupture,default_rupture,Rupture
429,1,25,0.5388,0.3908,0.2632,1,1,rupture,adaptive_rupture,Injury
430,1,18,0.5056,0.4944,0.5111,9,1,rupture,default_rupture,Rupture
431,1,24,0.4758,0.4325,0.3942,5,1,rupture,injury,Injury
432,1,22,0.4477,0.3705,0.2977,2,1,rupture,injury,Injury
433,1,13,0.5038,0.45,0.4246,3,1,rupture,default_rupture,Rupture
434,1,23,0.5,0.4196,0.3261,1,1,rupture,adaptive_rupture,Injury
435,1,24,0.5042,0.3937,0.3883,5,1,rupture,adaptive_rupture,Injury
436,1,25,0.578,0.428,0.428,8,1,rupture,adaptive_rupture,Injury
437,1,25,0.504,0.398,0.5228,13,1,rupture,adaptive_rupture,Injury
438,1,24,0.5563,0.4583,0.2833,2,1,rupture,default_rupture,Rupture
439,1,25,0.534,0.41,0.47,8,1,rupture,adaptive_rupture,Injury
441,1,22,0.5614,0.4023,0.4455,7,1,rupture,adaptive_rupture,Injury
442,1,23,0.4857,0.4748,0.31,1,1,rupture,injury_disrupted,Injury
443,1,21,0.5,0.4048,0.2738,1,1,rupture,adaptive_rupture,Injury
444,1,25,0.4948,0.3828,0.2832,0,0,rupture,injury,Injury
448,1,17,0.5088,0.4765,0.4382,7,1,rupture,default_rupture,Rupture
449,1,19,0.4868,0.4658,0.4774,8,1,rupture,injury_disrupted,Injury
452,2,38,0.5105,0.3895,0.2842,2,1,rupture,adaptive_rupture,Injury
453,1,25,0.514,0.412,0.26,1,1,rupture,adaptive_rupture,Injury
454,1,25,0.536,0.432,0.5076,12,1,rupture,adaptive_rupture,Injury
455,1,25,0.5008,0.3412,0.2928,2,1,rupture,adaptive_rupture,Injury
456,1,25,0.518,0.46,0.5568,17,1,rupture,default_rupture,Rupture
457,1,25,0.486,0.428,0.276,1,1,rupture,injury,Injury
458,1,25,0.5308,0.4988,0.5312,15,1,rupture,default_rupture,Rupture
459,1,25,0.532,0.442,0.51,12,1,rupture,adaptive_rupture,Injury
460,1,17,0.5,0.4735,0.3853,2,1,rupture,default_rupture,Rupture
462,1,6,0.5333,0.1583,0.2583,0,0,rupture,adaptive_rupture,Injury
464,1,8,0.4938,0.3625,0.175,0,0,rupture,injury,Injury
465,1,8,0.4813,0.1125,0.1375,0,0,rupture,injury,Injury
471,2,15,0.31,0.1666,0.2233,0,0,injury,injury,Injury
473,1,9,0.4333,0.1833,0.2944,0,0,rupture,injury,Injury
474,1,7,0.4929,0.3143,0.2643,0,0,rupture,injury,Injury
484,1,25,0.532,0.476,0.29,1,1,rupture,default_rupture,Rupture
485,2,67,0.4217,0.2784,0.3716,1,1,rupture,injury,Injury
489,1,25,0.6332,0.4952,0.3248,1,1,rupture,default_rupture,Rupture
490,1,25,0.558,0.492,0.312,3,1,rupture,default_rupture,Rupture
491,1,24,0.5288,0.4025,0.2121,0,0,rupture,adaptive_rupture,Injury
492,1,25,0.5088,0.462,0.3496,4,1,rupture,default_rupture,Rupture
493,1,16,0.5031,0.4281,0.3563,1,1,rupture,adaptive_rupture,Injury
494,1,25,0.524,0.446,0.3488,4,1,rupture,adaptive_rupture,Injury
495,1,17,0.4853,0.3971,0.2971,0,0,rupture,injury,Injury
496,1,25,0.52,0.448,0.38,3,1,rupture,adaptive_rupture,Injury
497,1,23,0.5174,0.4217,0.3565,4,1,rupture,adaptive_rupture,Injury
498,1,25,0.532,0.378,0.174,0,0,rupture,adaptive_rupture,Injury
499,1,20,0.495,0.46,0.34,2,1,rupture,injury_disrupted,Injury
500,1,15,0.502,0.3513,0.3087,0,0,rupture,adaptive_rupture,Injury
501,1,25,0.5128,0.4372,0.2888,1,1,rupture,adaptive_rupture,Injury
502,1,16,0.5031,0.4531,0.3719,3,1,rupture,default_rupture,Rupture
503,1,19,0.5026,0.4132,0.4395,6,1,rupture,adaptive_rupture,Injury
505,1,25,0.508,0.416,0.342,1,1,rupture,adaptive_rupture,Injury
506,2,43,0.497,0.3739,0.2472,0,0,rupture,injury,Injury
508,1,24,0.5529,0.5221,0.5258,13,1,rupture,default_rupture,Rupture
510,2,38,0.5329,0.445,0.2816,1,1,rupture,adaptive_rupture,Injury
513,1,20,0.5375,0.4525,0.29,2,1,rupture,default_rupture,Rupture
514,1,25,0.5048,0.4092,0.2592,0,0,rupture,adaptive_rupture,Injury
515,2,41,0.5195,0.3988,0.2915,1,1,rupture,adaptive_rupture,Injury
516,1,12,0.5667,0.4792,0.5708,8,1,rupture,default_rupture,Rupture
518,2,38,0.4895,0.425,0.3913,6,1,rupture,injury,Injury
522,1,25,0.5508,0.4632,0.4236,8,1,rupture,default_rupture,Rupture
525,1,20,0.569,0.4635,0.324,1,1,rupture,default_rupture,Rupture
527,1,13,0.5,0.4,0.3962,4,1,rupture,adaptive_rupture,Injury
528,1,25,0.508,0.464,0.212,1,1,rupture,default_rupture,Rupture
529,1,22,0.4955,0.4068,0.2568,0,0,rupture,injury,Injury
530,1,44,0.4625,0.375,0.3455,6,1,rupture,injury,Injury
532,1,21,0.511,0.351,0.2295,0,0,rupture,adaptive_rupture,Injury
534,1,15,0.4733,0.4067,0.26,0,0,rupture,injury,Injury
535,1,17,0.5088,0.4118,0.2676,1,1,rupture,adaptive_rupture,Injury
536,1,20,0.5,0.395,0.2175,0,0,rupture,adaptive_rupture,Injury
537,1,25,0.5068,0.2968,0.2892,0,0,rupture,adaptive_rupture,Injury
538,1,20,0.509,0.391,0.407,5,1,rupture,adaptive_rupture,Injury
546,1,25,0.5268,0.4332,0.3652,4,1,rupture,adaptive_rupture,Injury
550,1,18,0.5372,0.4378,0.3433,1,1,rupture,adaptive_rupture,Injury
552,1,24,0.5354,0.4542,0.2854,2,1,rupture,default_rupture,Rupture
553,2,26,0.5269,0.4173,0.35,3,1,rupture,adaptive_rupture,Injury
554,1,19,0.4895,0.4289,0.2421,0,0,rupture,injury,Injury
556,1,14,0.4893,0.4643,0.3321,1,1,rupture,injury_disrupted,Injury
557,1,19,0.65,0.4763,0.3632,1,1,rupture,distrust,Distrust
558,1,17,0.4912,0.3735,0.2088,0,0,rupture,injury,Injury
559,1,15,0.4833,0.3967,0.2533,0,0,rupture,injury,Injury
560,1,14,0.4679,0.3857,0.15,0,0,rupture,injury,Injury
562,1,14,0.5036,0.3893,0.2786,0,0,rupture,adaptive_rupture,Injury
563,1,14,0.5107,0.4321,0.25,0,0,rupture,adaptive_rupture,Injury
564,1,17,0.4824,0.3853,0.2353,0,0,rupture,injury,Injury
565,1,19,0.5,0.3947,0.25,0,0,rupture,adaptive_rupture,Injury
566,1,19,0.5158,0.4605,0.3711,1,1,rupture,default_rupture,Rupture
567,1,25,0.5688,0.4628,0.2852,3,1,rupture,default_rupture,Rupture
568,1,25,0.482,0.352,0.232,0,0,rupture,injury,Injury
569,1,22,0.5491,0.4309,0.2509,0,0,rupture,adaptive_rupture,Injury
570,1,18,0.4694,0.4194,0.4,2,1,rupture,injury,Injury
571,1,15,0.4833,0.4,0.3733,1,1,rupture,injury,Injury
572,1,25,0.5388,0.3932,0.2588,0,0,rupture,adaptive_rupture,Injury
573,1,20,0.5025,0.4625,0.35,3,1,rupture,default_rupture,Rupture
574,1,20,0.5025,0.4025,0.3225,0,0,rupture,adaptive_rupture,Injury
576,1,25,0.514,0.334,0.242,0,0,rupture,adaptive_rupture,Injury
579,1,16,0.5606,0.4675,0.2637,0,0,rupture,default_rupture,Rupture
580,1,20,0.515,0.4275,0.2825,0,0,rupture,adaptive_rupture,Injury
581,1,17,0.5276,0.4312,0.3494,2,1,rupture,adaptive_rupture,Injury
582,1,19,0.55,0.4263,0.2526,0,0,rupture,adaptive_rupture,Injury
